"schoolname","State","District","No.students","percAmericanIndian","percAsian","percHawaiian","percBlack","percHispanic","percWhite","More","Lep","percIdea","perc504","Zip","Montessori","SCHID","ps","kinder","first","second","third","fourth","fifth","sixth","seventh","eighth","nineth","tenth","eleventh","twelfth","magnet","charter","SCHOOL_NAME","title","FRLperc","distance","weights","subclass","Lea.State","ID","Year","Category","Sex","no.AmericanIndianAbs","no.AsianAbs","no.HawaiianPIAbs","no.HispanicAbs","no.BlackAbs","no.WhiteAbs","no.Two.or.more.racesAbs","TotalAbs","no.IdeaAbs","no.504Abs","no.LEPAbs"
"crossroadsmontessori","MN","st.paulpublicschooldistrict",316,0,26,0,25.3,12.7,20.3,15.2,22,7.9,1,55117,1,2999,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,"CROSSROADS MONTESSORI",1,62.5,-0.226108789206482,1,14,"MN",2.73384e+11,2017,"Students absent 15 or more school dates during school year","M","-","6","-","10","11","3","3",33,"8","-","11"
"crossroadsmontessori","MN","st.paulpublicschooldistrict",316,0,26,0,25.3,12.7,20.3,15.2,22,7.9,1,55117,1,2999,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,"CROSSROADS MONTESSORI",1,62.5,-0.226108789206482,1,14,"MN",2.73384e+11,2017,"Students absent 15 or more school dates during school year","F","-","4","-","6","11","2","9",32,"4","-","8"
"crossroadsscienceprogram","MN","st.paulpublicschooldistrict",336,0,31,0,40.2,5.7,12.2,11,26,16.1,5,55117,0,3000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,"CROSSROADS SCIENCE PROGRAM",1,78.3,-0.122840723185728,1,70,"MN",273384003000,2017,"Students absent 15 or more school dates during school year","F","-","3.00","-","2.00","28.00","3","8.00",44,"4.00","-","4.00"
"crossroadsscienceprogram","MN","st.paulpublicschooldistrict",336,0,31,0,40.2,5.7,12.2,11,26,16.1,5,55117,0,3000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,"CROSSROADS SCIENCE PROGRAM",1,78.3,-0.122840723185728,1,70,"MN",273384003000,2017,"Students absent 15 or more school dates during school year","M","-","4.00","-","4.00","23.00","8","4.00",43,"11.00","-","8.00"
"daggettmontessori","TX","fortworthisd",509,0,3,0,6.9,54.8,33.2,2.4,10.4,11.6,11.8,76110,1,9037,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"DAGGETT MONTESSORI",1,44.5,0.3922007013398,1,15,"TX",4.8197e+11,2017,"Students absent 15 or more school dates during school year","F","-","-","-","5","1","2","-",8,"2","-","-"
"daggettmontessori","TX","fortworthisd",509,0,3,0,6.9,54.8,33.2,2.4,10.4,11.6,11.8,76110,1,9037,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"DAGGETT MONTESSORI",1,44.5,0.3922007013398,1,15,"TX",4.8197e+11,2017,"Students absent 15 or more school dates during school year","M","-","-","-","3","1","5","-",9,"4","-","1"
"dantealighierimontessorischool","MA","boston",95,0,1.1,0,2,58,34.7,4.2,51.6,10.5,0,2128,1,2835,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,"Dante Alighieri Montessori School",1,38,0.835645837855921,1,16,"MA",2.50279e+11,2017,"Students absent 15 or more school dates during school year","M","-","-","-","0","0","0","0",0,"0","0","0"
"dantealighierimontessorischool","MA","boston",95,0,1.1,0,2,58,34.7,4.2,51.6,10.5,0,2128,1,2835,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,"Dante Alighieri Montessori School",1,38,0.835645837855921,1,16,"MA",2.50279e+11,2017,"Students absent 15 or more school dates during school year","F","-","-","-","0","-","1","0",1,"0","0","0"
"datermontessorielementaryschool","OH","cincinnaticity",802,0,0.7,0,42.8,1.6,45.9,9,6.7,17.8,7.5,45238,1,300,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,"Dater Montessori Elementary School",1,87.7,-0.897240052450014,1,17,"OH",3.90438e+11,2017,"Students absent 15 or more school dates during school year","M","-","-","-","2","17","12","2",33,"13","1","1"
"datermontessorielementaryschool","OH","cincinnaticity",802,0,0.7,0,42.8,1.6,45.9,9,6.7,17.8,7.5,45238,1,300,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,"Dater Montessori Elementary School",1,87.7,-0.897240052450014,1,17,"OH",3.90438e+11,2017,"Students absent 15 or more school dates during school year","F","-","-","-","3","8","9","3",23,"5","2","-"
"davinciinstitutek8","MI","davinciinstitute",193,0,1,0,6.2,2.6,84.5,5.7,1,20.2,1,49202,0,1118,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"Da Vinci Institute K8",1,94.3,-0.559851740447061,1,10,"MI",260008801118,2017,"Students absent 15 or more school dates during school year","F","-","-","-","1.00","1.00","9","2.00",13,"3.00","-","-"
"davinciinstitutek8","MI","davinciinstitute",193,0,1,0,6.2,2.6,84.5,5.7,1,20.2,1,49202,0,1118,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"Da Vinci Institute K8",1,94.3,-0.559851740447061,1,10,"MI",260008801118,2017,"Students absent 15 or more school dates during school year","M","-","-","-","-","-","12","1.00",13,"1.00","-","-"
"davis21stcenturymagnetelementaryschool","CT","newhavenschooldistrict",511,1,0.8,0,59.7,16,19.2,3.5,0.8,12,1,6515,0,551,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,"Davis 21st Century Magnet Elementary School",1,51.1,0.560285494444982,1,50,"CT",90279000551,2017,"Students absent 15 or more school dates during school year","F","-","-","-","2.00","7.00","1.00","-",10,"1.00","-","-"
"davis21stcenturymagnetelementaryschool","CT","newhavenschooldistrict",511,1,0.8,0,59.7,16,19.2,3.5,0.8,12,1,6515,0,551,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,"Davis 21st Century Magnet Elementary School",1,51.1,0.560285494444982,1,50,"CT",90279000551,2017,"Students absent 15 or more school dates during school year","M","-","-","-","-","14.00","2.00","1.00",17,"5.00","1.00","-"
"delshireelementaryschool","OH","oakhillslocal",547,0,2.6,0,8,3.5,78.1,8,3.8,13.9,3.1,45238,0,2871,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Delshire Elementary School",1,50.5,-1.42691643802156,1,74,"OH",390473702871,2017,"Students absent 15 or more school dates during school year","F","-","3","-","2","4","29","-",38,"11","2","3"
"delshireelementaryschool","OH","oakhillslocal",547,0,2.6,0,8,3.5,78.1,8,3.8,13.9,3.1,45238,0,2871,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Delshire Elementary School",1,50.5,-1.42691643802156,1,74,"OH",390473702871,2017,"Students absent 15 or more school dates during school year","M","-","1","-","2","7","22","6.00",38,"9","4","2"
"denalimontessorielementary","AK","anchorageschooldistrict",426,7.7,5,6.1,3.5,13.8,43.9,19.5,6.3,16.4,3,99501,1,72,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,"Denali Montessori Elementary",1,43,-1.45243387008837,1,18,"AK",20018000072,2017,"Students absent 15 or more school dates during school year","M","6","1","2","6","3","17","9",44,"12","2","4"
"denalimontessorielementary","AK","anchorageschooldistrict",426,7.7,5,6.1,3.5,13.8,43.9,19.5,6.3,16.4,3,99501,1,72,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,"Denali Montessori Elementary",1,43,-1.45243387008837,1,18,"AK",20018000072,2017,"Students absent 15 or more school dates during school year","F","12","4","1","8","3","16","12",56,"14","5","3"
"denisonmontessorischool","CO","schooldistrictno.1inthecountyofdenverandstateofc",403,1,6.9,0,1,59.3,30,1.7,14.6,14,1,80219,1,1522,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,"DENISON MONTESSORI SCHOOL",1,58.5,-2.48203602672004,1,19,"CO",80336001522,2017,"Students absent 15 or more school dates during school year","M","1","1","-","30","0","12","2",46,"9","-","1"
